,city,cloudiness,country,date,humidity,lat,lng,max_temp,wind_speed
279,Foumbot,85,CM,1584327414,70,5.51,10.64,62.58,3.15
280,Río Bueno,0,CL,1584327414,97,-40.32,-72.97,50.0,3.58
281,Tura,40,IN,1584327414,41,25.52,90.22,80.4,3.2
282,Kruisfontein,100,ZA,1584326569,88,-34.0,24.73,60.33,10.02
283,Bilma,60,NE,1584327006,14,18.69,12.92,60.15,1.81
284,Lagoa,0,PT,1584327058,75,39.05,-27.98,60.76,14.0
285,Hede,87,CN,1584327415,62,33.77,120.25,44.1,11.25
286,Sørland,62,NO,1584327037,54,67.67,12.69,31.55,20.31
287,Nordfjordeid,40,NO,1584327415,55,61.91,5.99,37.99,3.36
288,Tiksi,100,RU,1584326985,81,71.69,128.87,9.09,20.58
289,Tainan City,40,TW,1584327263,53,22.99,120.21,77.0,3.36
290,Batagay,89,RU,1584327415,79,67.63,134.63,-5.44,4.92
291,Kyra,27,RU,1584327415,58,49.58,111.98,33.37,23.29
292,Neuquén,0,AR,1584327327,30,-38.95,-68.06,71.6,5.82
293,Fairbanks,90,US,1584327019,86,64.84,-147.72,30.99,10.29
294,Timberlake,90,US,1584327286,75,37.32,-79.26,45.0,5.82
295,Safaga,0,EG,1584327416,48,26.73,33.94,64.4,9.17
296,Sergeevka,25,KZ,1584327286,92,53.88,67.42,28.58,4.85
297,Thompson,90,CA,1584327032,85,55.74,-97.86,15.8,10.29
298,Senanga,100,ZM,1584327056,95,-16.12,23.27,66.0,6.08
299,Heraclea,100,TR,1584327416,83,37.51,34.05,46.92,1.77
300,Il’inskiy,0,RU,1584327416,85,55.62,38.12,25.0,6.71
301,Gimli,100,CA,1584327244,97,50.63,-96.99,25.0,8.01
302,Barstow,1,US,1584327417,38,34.9,-117.02,60.8,18.34
303,São José da Coroa Grande,46,BR,1584327417,74,-8.9,-35.15,82.15,5.64
304,Anadyr,100,RU,1584327413,85,64.75,177.48,23.0,4.47
305,Puqi,65,CN,1584327116,46,29.72,113.88,66.04,1.88
306,Niamey,99,NE,1584327134,10,13.51,2.11,80.6,6.93
307,Ulaangom,100,MN,1584327117,86,49.98,92.07,11.19,3.09
308,Gudāri,36,IN,1584327417,63,19.35,83.78,79.47,2.35
309,Parkes,60,AU,1584327417,41,-33.13,148.18,78.01,5.99
310,Arlit,100,NE,1584327074,12,18.74,7.39,71.87,8.5
311,Pitimbu,75,BR,1584327417,94,-7.47,-34.81,77.0,1.12
312,Muscat,40,OM,1584327417,88,23.61,58.59,68.0,3.36
313,Inuvik,75,CA,1584327076,65,68.35,-133.72,3.2,2.24
